LineNum,W=a,W=all,W=am,W=and,W=are,W=as,W=at,W=be,W=but,W=can,W=do,W=for,W=had,W=have,W=he,W=here,W=i,W=if,W=in,W=is,W=it,W=know,W=little,W=me,W=must,W=my,W=no,W=not,W=now,W=of,W=on,W=one,W=so,W=that,W=the,W=then,W=there,W=think,W=this,W=to,W=was,W=well,W=what,W=will,W=with,W=yes,W=you,W=your,distribution_nora,distribution_helmer,distribution_mrslinde,distribution_krogstad,distribution_rank,character_name
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.249203,0.138019,0.105373,0.087273,0.420133,nora
2,2,0,1,1,0,0,1,1,1,0,1,0,1,2,1,0,4,0,2,2,1,1,1,0,2,1,0,0,1,0,0,4,1,4,1,0,1,0,0,1,0,1,0,1,0,0,3,1,0.706423,0.001589,0.010937,0.28105,0,nora
3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.107924,0.28254,0.17765,0.226857,0.205029,nora
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.160515,0.207374,0.098798,0.156668,0.376646,nora
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.178509,0.205843,0.22344,0.148079,0.244129,nora
6,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0.664962,0.000208,0.000437,0.250975,0.083418,nora
7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,4,0,0.549339,0.181331,0.212317,0.057013,0,nora
8,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,0,3,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,2,6,0,1,0,0,0,0,0,0.757121,0,0.117336,0.123211,0.002332,nora
9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.186028,0.041562,0.496094,0.139151,0.137164,nora
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.36529,0.197456,0.070968,0.219448,0.146837,nora
