character_name,character_speech
nora ,nora gem juletræet godt  helene  børnene må endelig ikke få se det før iaften  når det er pyn  tet   hvormeget – 
bybudet ,bybudet femti øre 
nora ,nora der er en krone  nej  behold det hele 
nora ,nora  jo  han er hjemme 
helmer ,helmer  er det lærkefuglen  som kvidrer derude 
nora ,nora  ja  det er det 
helmer ,helmer er det ekornet  som rumsterer der 
nora ,nora ja 
helmer ,helmer når kom ekornet hjem 
nora ,nora nu netop   kom herud  torvald  så skal du få se  hvad jeg har købt 
helmer ,helmer ikke forstyr   købt  siger du  alt det der  har nu lille spillefuglen været ude og sat penge over  styr igen 
nora ,nora ja men  torvald  iår må vi dog virkelig slå os lidt løs  det er jo den første jul  da vi ikke behøver at spare 
helmer ,helmer å  ved du hvad  ødsle kan vi ikke 
nora ,nora jo  torvald  lidt kan vi nok ødsle nu  ikke sandt  bare en liden bitte smule  nu får du jo en stor gage og kommer til at tjene mange  mange penge 
helmer ,helmer ja  fra nytår af  men så går der et helt fjerdingår før gagen forfalder 
nora ,nora pyt  vi kan jo låne så længe 
helmer ,helmer nora   er nu letsindigheden ude og går igen  sæt nu jeg lånte tusend kroner idag og du satte dem overstyr i juleugen og jeg så nytårsaften fik en tagsten i hodet og lå der –
nora ,nora  å fy  tal ikke så stygt 
helmer ,helmer jo  sæt nu  at sligt hændte  – hvad så 
nora ,nora hvis der hændte noget så fælt  så kunde det være ganske det samme enten jeg havde gæld eller ikke 
helmer ,helmer nå  men de folk  jeg havde lånt af 
nora ,nora de  hvem bryr sig om dem  det er jo fremmede 
helmer ,helmer nora  nora  du est en kvinde  nej men al  vorligt  nora  du ved   hvad jeg tænker i det stykke  ingen gæld  aldrig låne  der kommer noget ufrit  og altså også noget uskønt  over det hjem  som grundes på lån og gæld  nu har vi to holdt tappert ud lige til idag  og det vil vi også gøre den korte tid  det endnu behøves 
nora ,nora  ja  ja  som du vil  torvald 
helmer ,helmer  så  så  nu skal ikke lille sanglærken hænge med vingerne  hvad  står ekornen der og sur  muler   nora  hvad tror du jeg har her 
nora ,nora  penge 
helmer ,helmer se der   herregud  jeg ved jo nok  at der går en hel del til i et hus i juletiden 
nora ,nora  ti – tyve – tredive – firti  å tak  tak  torvald  nu hjælper jeg mig langt 
helmer ,helmer ja  det må du sandelig gøre 
nora ,nora ja  ja  det skal jeg nok  men kom her  så skal jeg vise dig alt  hvad jeg har købt  og så billigt  se  her er nye klæder til ivar – og så en sabel  her er en hest og en trompet til bob  og her er dukke og dukkeseng til emmy  det er nu så simpelt  men hun river det jo snart istykker alligevel  og her har jeg kjoletøjer og tørklæder til pigerne  gamle anne marie skulde nu havt meget mere 
helmer ,helmer og hvad er der i den pakke der 
nora ,nora  nej  torvald  det får du ikke se før iaften 
helmer ,helmer nå så  men sig mig nu  du lille ødeland  hvad har du nu tænkt på til dig selv 
nora ,nora å pyt  til mig  jeg bryr mig slet ikke om noget 
helmer ,helmer jovisst gør du så  sig mig nu noget rime  ligt  som du helst kunde have lyst til 
nora ,nora nej  jeg ved virkelig ikke  jo hør  torvald –
helmer ,helmer nå 
nora ,nora  hvis du vil give mig noget  så kunde du jo –  du kunde –
helmer ,helmer nå  nå  ud med det 
nora ,nora  du kunde give mig penge  torvald  bare så meget  som du synes du kan afse  så skal jeg siden en af dagene købe noget for dem 
helmer ,helmer nej men  nora –
nora ,nora å jo  gør det  kære torvald  jeg ber dig såmeget om det  så skulde jeg hænge pengene i et smukt guldpapirs omslag på juletræet  vilde ikke det være morsomt 
helmer ,helmer hvad er det de fugle kaldes  som altid sætter penge overstyr 
nora ,nora ja ja  spillefugle  jeg ved det nok  men lad os gøre  som jeg siger  torvald  så får jeg tid til at overlægge  hvad jeg mest har brug for  er ikke det meget fornuftigt  hvad 
helmer ,helmer  jo visst er det så  det vil sige  hvis du virke  lig kunde holde på de penge  jeg gier dig  og virkelig købte noget til dig selv for dem  men så går de til huset og til så mangt og meget unyttigt  og så må jeg punge ud igen 
nora ,nora å men  torvald –
helmer ,helmer kan ikke nægtes  min kære lille nora   spillefuglen er sød  men den bruger svært mange penge  det er utroligt  hvor kostbart det er for en mand at holde spillefugl 
nora ,nora å fy  hvor kan du da sige det  jeg sparer dog virkelig alt  hvad jeg kan 
helmer ,helmer  ja  det var et sandt ord  alt hvad du kan   men du kan slet ikke 
nora ,nora  hm  du skulde bare vide  hvor mange ud  gifter vi lærker og ekorne har  torvald 
helmer ,helmer du er en besynderlig liden en  ganske som din fader var  du er om dig på alle kanter for at gøre udvej til penge  men så snart du har dem  blir de ligesom borte mellem hænderne på dig  du ved aldrig  hvor du gør af dem  nå  man må tage dig som du er  det ligger i blo  det  jo  jo  jo  sligt er arveligt  nora 
nora ,nora ak  jeg vilde ønske  jeg havde arvet mange af pappas egenskaber 
helmer ,helmer og jeg vilde ikke ønske dig anderledes  end netop således  som du er  min søde lille sang  lærke  men hør  der falder mig noget ind  du ser så – så – hvad skal jeg kalde det  – så fordægtig ud idag –
nora ,nora gør jeg 
helmer ,helmer ja visst gør du det  se mig stivt i øjnene 
nora ,nora  nå 
helmer ,helmer  slikmunden skulde vel aldrig have grasseret i byen idag 
nora ,nora nej  hvor kan du nu falde på det 
helmer ,helmer har slikmunden virkelig ikke gjort en af  stikker ind til konditoren 
nora ,nora nej  jeg forsikrer dig  torvald –
helmer ,helmer ikke nippet lidt syltetøj 
nora ,nora nej  aldeles ikke 
helmer ,helmer ikke engang gnavet en makron eller to 
nora ,nora nej  torvald  jeg forsikrer dig virkelig –
helmer ,helmer nå  nå  nå  det er jo naturligvis bare mit spøg –
nora ,nora  jeg kunde da ikke falde på at gøre dig imod 
helmer ,helmer nej  jeg ved det jo nok  og du har jo givet mig dit ord –   nå  behold du dine små julehemmeligheder for dig selv  min velsig  nede nora  de kommer vel for lyset iaften  når juletræet er tændt  kan jeg tro 
nora ,nora har du husket på at bede doktor rank 
helmer ,helmer nej  men det behøves jo ikke  det følger jo af sig selv  at han spiser med os  forresten skal jeg bede ham  når han kommer her iformiddag  god vin har jeg bestilt  nora  du kan ikke tro  hvor jeg glæder mig til iaften 
nora ,nora jeg også  og hvor børnene vil fryde sig  torvald 
helmer ,helmer ak  det er dog herligt at tænke på  at man har fåt en sikker  betrygget stilling  at man har sit​ rundelige udkomme  ikke sandt  det er en stor nydelse at tænke på 
nora ,nora å   det er vidunderligt 
helmer ,helmer kan du huske forrige jul  hele tre uger i forvejen lukked du dig hver aften inde til langt over midnat for at lave blomster til juletræet og alle de andre herligheder   som vi skulde over  raskes med  uh  det var den kedeligste tid  jeg har oplevet 
nora ,nora da keded jeg mig slet ikke 
helmer ,helmer  men det faldt dog temmelig tarveligt ud  nora 
nora ,nora å  skal du nu drille mig med det igen  hvad kunde jeg for  at katten var kommen ind og havde revet alting istykker 
helmer ,helmer nej visst kunde du ikke  min stakkers lille nora  du havde den bedste vilje til at glæde os alle  og det er hovedsagen  men det er dog godt  at de knebne tider er forbi 
nora ,nora ja  det er rigtignok vidunderligt 
helmer ,helmer nu behøver ikke jeg at sidde her alene og kede mig  og du behøver ikke at plage dine vel  signede øjne og dine små skære fine hænder –
nora ,nora  nej  ikke sandt  torvald  det behøves ikke længer  å  hvor det er vidunderlig dejligt at høre   nu skal jeg sige dig  hvorledes jeg havde tænkt  vi skulde indrette os  torvald  så snart julen er over –  å  der ringer det   her kommer visst nogen  det var da kedeligt 
helmer ,helmer for visiter er jeg ikke hjemme  husk det 
stuepigen ,stuepigen  frue  her er en fremmed dame –
nora ,nora ja  lad hende komme ind 
stuepigen ,stuepigen  og så kom doktoren med det samme 
helmer ,helmer gik han lige ind til mig 
stuepigen ,stuepigen ja  han gjorde så 
fru ,fru linde  goddag  nora 
nora ,nora  goddag –
frulinde ,frulinde du kender mig nok ikke igen 
nora ,nora nej  jeg ved ikke –  jo visst  jeg synes nok –  hvad  kristine  er det virkelig dig 
frulinde ,frulinde ja  det er mig 
nora ,nora kristine  og jeg  som ikke kendte dig igen  men hvor kunde jeg også –   hvor du er bleven forandret  kristine 
frulinde ,frulinde ja  det er jeg visstnok  i ni–ti lange år –
nora ,nora er det så længe siden vi såes  ja  det er det jo også  å  de sidste otte år har været en lykkelig tid  kan du tro  og nu er du altså kommen herind til byen  gjort den lange rejse ved vintertid  det var tappert 
frulinde ,frulinde jeg kom netop med dampskibet imorges 
nora ,nora for at more dig i julen  naturligvis  å  hvor det er dejligt  ja  more os  det skal virigtignok  men tag dog overtøjet af  du fryser dog vel ikke   se så  nu sætter vi os hyggeligt her ved ovnen  nej  i lænestolen der  her i gyngestolen vil jeg sidde   ja  nu har du jo dit gamle ansigt igen  det var bare i det første øjeblik –  lidt blegere er du dog bleven  kristine  – og kanske lidt magrere 
frulinde ,frulinde og meget  meget ældre  nora 
nora ,nora ja  kanske lidt ældre  bitte  bitte lidt  slet ikke meget   å  men jeg tankeløse menneske  som sidder her og snakker  søde  velsignede kristine  kan du tilgive mig 
frulinde ,frulinde hvad mener du  nora 
nora ,nora  stakkers kristine  du er jo bleven enke 
frulinde ,frulinde ja  for tre år siden 
nora ,nora å  jeg vidste det jo nok  jeg læste det jo i aviserne  å  kristine  du må tro mig  jeg tænkte ofte på at skrive dig til i den tid  men altid op  satte jeg det  og altid kom der noget ivejen 
frulinde ,frulinde kære nora  det forstår jeg så godt 
nora ,nora nej  det var stygt af mig  kristine  å  du stakker  hvor meget du visst har gået igennem  – og han efterlod dig jo ikke noget at leve af 
frulinde ,frulinde nej 
nora ,nora og ingen børn 
frulinde ,frulinde nej 
nora ,nora slet ingen ting altså 
frulinde ,frulinde ikke engang en sorg eller et savn til at tære på 
nora ,nora  ja men  kristine  hvor kan det være muligt 
fru ,fru linde  å  det hænder undertiden  nora 
nora ,nora så ganske alene  hvor det må være for  færdelig tungt for dig  jeg har tre dejlige børn  ja nu kan du ikke få se dem  for de er ude med pigen  men nu må du fortælle mig alt –
frulinde ,frulinde nej  nej  nej  fortæl heller du 
nora ,nora nej  du skal begynde  idag vil jeg ikke være egenkærlig  idag vil jeg tænke bare på dine sager  men et må jeg dog sige dig  ved du den store lykke  som er hændt os i disse dage 
frulinde ,frulinde nej  hvad er det 
nora ,nora tænk  min mand er bleven direktør i aktie  banken 
frulinde ,frulinde din mand  å hvilket held – 
nora ,nora ja  umådeligt  at være advokat  det er jo så usikkert at leve af  især når man ikke vil be  fatte sig​ med andre forretninger  end de  som er fine og smukke  og det har naturligvis torvald aldrig villet  og det holder jeg da ganske med ham i  å  du kan tro  vi glæder os  han skal tiltræde i banken allerede til nytår  og da får han en stor gage og mange procenter  herefter kan vi leve ganske anderledes end før  – ganske som vi vil  å  kristine  hvor jeg føler mig let og lykkelig  ja  for det er dog dejligt at have dygtig mange penge og ikke behøve at gøre sig bekymringer  ikke sandt 
frulinde ,frulinde jo  ialfald måtte det være dejligt at have det nødvendige 
nora ,nora nej  ikke blot det nødvendige  men dygtig  dygtig mange penge 
fru ,fru linde  nora  nora  er du endnu ikke bleven for  nuftig  i skoledagene var du en stor ødeland 
nora ,nora  ja  det siger torvald endnu   men «nora  nora» er ikke så gal  som i tænker  – å  vi har sandelig ikke havt det så  at jeg har kunnet ødsle  vi har måttet arbejde begge to 
frulinde ,frulinde du også 
nora ,nora ja  med småting  med håndarbejde  med hækling og med broderi og sådant noget   og med andre ting også  du ved vel  at torvald gik ud af departementet  da vi blev gift  der var ingen udsigt til befordring i hans kontor  og så måtte han jo tjene flere penge end før  men i det første år overanstrængte han sig så aldeles forfærdeligt  han måtte jo søge alskens bifortjeneste  kan du vel tænke dig  og arbejdebåde tidligt og sent  men det tålte han ikke  og så blev han så dødelig syg  så erklærte lægerne det for nødvendigt  at han kom ned til syden 
frulinde ,frulinde ja  i opholdt jer jo et helt år i italien 
nora ,nora ja visst  det var ikke let at komme afsted ​ kan du tro  ivar var netop født dengang  men afsted måtte vi naturligvis  å  det var en vid  underlig dejlig rejse  og den frelste torvalds liv  men den kosted svært mange penge  kristine 
frulinde ,frulinde det kan jeg nok tænke mig 
nora ,nora tolv hundrede specier kosted den  fire tusend otte hundrede kroner  det er mange penge du 
frulinde ,frulinde ja  men i slige tilfælde er det ialfald en stor lykke  at man har dem 
nora ,nora ja jeg skal sige dig  vi fik dem nu af pappa 
frulinde ,frulinde nå sådan  det var netop på den tid din fader døde  tror jeg 
nora ,nora ja  kristine  det var netop da  og tænk dig  jeg kunde ikke rejse til ham og pleje ham  jeg gik jo her og vented daglig  at lille ivar skulde komme til verden  og så havde jeg jo min stakkers dødssyge torvald at passe  min kære snille pappa  jeg fik aldrig se ham mere  kristine  å  det er det tungeste  jeg har oplevet  siden jeg blev gift 
frulinde ,frulinde jeg ved   du holdt meget af ham  men så rejste i altså til italien 
