character_name,character_speech
nora ,"['gem', 'juletræet', 'godt', 'helene', 'børnene', 'må', 'endelig', 'ikke', 'få', 'se', 'det', 'før', 'iaften', 'når', 'det', 'er', 'pyn', 'tet', 'hvormeget', '–']"
bybudet ,"['femti', 'øre']"
nora ,"['der', 'er', 'en', 'krone', 'nej', 'behold', 'det', 'hele']"
nora ,"['jo', 'han', 'er', 'hjemme']"
helmer ,"['er', 'det', 'lærkefuglen', 'som', 'kvidrer', 'derude']"
nora ,"['ja', 'det', 'er', 'det']"
helmer ,"['er', 'det', 'ekornet', 'som', 'rumsterer', 'der']"
nora ,['ja']
helmer ,"['når', 'kom', 'ekornet', 'hjem']"
nora ,"['nu', 'netop', 'kom', 'herud', 'torvald', 'så', 'skal', 'du', 'få', 'se', 'hvad', 'jeg', 'har', 'købt']"
helmer ,"['ikke', 'forstyr', 'købt', 'siger', 'du', 'alt', 'det', 'der', 'har', 'nu', 'lille', 'spillefuglen', 'været', 'ude', 'og', 'sat', 'penge', 'over', 'styr', 'igen']"
nora ,"['ja', 'men', 'torvald', 'iår', 'må', 'vi', 'dog', 'virkelig', 'slå', 'os', 'lidt', 'løs', 'det', 'er', 'jo', 'den', 'første', 'jul', 'da', 'vi', 'ikke', 'behøver', 'at', 'spare']"
helmer ,"['å', 'ved', 'du', 'hvad', 'ødsle', 'kan', 'vi', 'ikke']"
nora ,"['jo', 'torvald', 'lidt', 'kan', 'vi', 'nok', 'ødsle', 'nu', 'ikke', 'sandt', 'bare', 'en', 'liden', 'bitte', 'smule', 'nu', 'får', 'du', 'jo', 'en', 'stor', 'gage', 'og', 'kommer', 'til', 'at', 'tjene', 'mange', 'mange', 'penge']"
helmer ,"['ja', 'fra', 'nytår', 'af', 'men', 'så', 'går', 'der', 'et', 'helt', 'fjerdingår', 'før', 'gagen', 'forfalder']"
nora ,"['pyt', 'vi', 'kan', 'jo', 'låne', 'så', 'længe']"
helmer ,"['nora', 'er', 'nu', 'letsindigheden', 'ude', 'og', 'går', 'igen', 'sæt', 'nu', 'jeg', 'lånte', 'tusend', 'kroner', 'idag', 'og', 'du', 'satte', 'dem', 'overstyr', 'i', 'juleugen', 'og', 'jeg', 'så', 'nytårsaften', 'fik', 'en', 'tagsten', 'i', 'hodet', 'og', 'lå', 'der', '–']"
nora ,"['å', 'fy', 'tal', 'ikke', 'så', 'stygt']"
helmer ,"['jo', 'sæt', 'nu', 'at', 'sligt', 'hændte', '–', 'hvad', 'så']"
nora ,"['hvis', 'der', 'hændte', 'noget', 'så', 'fælt', 'så', 'kunde', 'det', 'være', 'ganske', 'det', 'samme', 'enten', 'jeg', 'havde', 'gæld', 'eller', 'ikke']"
helmer ,"['nå', 'men', 'de', 'folk', 'jeg', 'havde', 'lånt', 'af']"
nora ,"['de', 'hvem', 'bryr', 'sig', 'om', 'dem', 'det', 'er', 'jo', 'fremmede']"
