character_name,character_speech
nora ,nora gem juletraeet godt  helene  boernene ma endelig ikke fa se det foer iaften  nar det er pyn  tet   hvormeget - 
bybudet ,bybudet femti oere 
nora ,nora der er en krone  nej  behold det hele 
nora ,nora  jo  han er hjemme 
not-nora,helmer  er det laerkefuglen  som kvidrer derude 
nora ,nora  ja  det er det 
not-nora,helmer er det ekornet  som rumsterer der 
nora ,nora ja 
not-nora,helmer nar kom ekornet hjem 
nora ,nora nu netop   kom herud  torvald  sa skal du fa se  hvad jeg har koebt 
not-nora,helmer ikke forstyr   koebt  siger du  alt det der  har nu lille spillefuglen vaeret ude og sat penge over  styr igen 
nora ,nora ja men  torvald  iar ma vi dog virkelig sla os lidt loes  det er jo den foerste jul  da vi ikke behoever at spare 
not-nora,helmer a  ved du hvad  oedsle kan vi ikke 
nora ,nora jo  torvald  lidt kan vi nok oedsle nu  ikke sandt  bare en liden bitte smule  nu far du jo en stor gage og kommer til at tjene mange  mange penge 
not-nora,helmer ja  fra nytar af  men sa gar der et helt fjerdingar foer gagen forfalder 
nora ,nora pyt  vi kan jo lane sa laenge 
not-nora,helmer nora   er nu letsindigheden ude og gar igen  saet nu jeg lante tusend kroner idag og du satte dem overstyr i juleugen og jeg sa nytarsaften fik en tagsten i hodet og la der -
nora ,nora  a fy  tal ikke sa stygt 
not-nora,helmer jo  saet nu  at sligt haendte  - hvad sa 
nora ,nora hvis der haendte noget sa faelt  sa kunde det vaere ganske det samme enten jeg havde gaeld eller ikke 
not-nora,helmer na  men de folk  jeg havde lant af 
nora ,nora de  hvem bryr sig om dem  det er jo fremmede 
not-nora,helmer nora  nora  du est en kvinde  nej men al  vorligt  nora  du ved   hvad jeg taenker i det stykke  ingen gaeld  aldrig lane  der kommer noget ufrit  og altsa ogsa noget uskoent  over det hjem  som grundes pa lan og gaeld  nu har vi to holdt tappert ud lige til idag  og det vil vi ogsa goere den korte tid  det endnu behoeves 
nora ,nora  ja  ja  som du vil  torvald 
not-nora,helmer  sa  sa  nu skal ikke lille sanglaerken haenge med vingerne  hvad  star ekornen der og sur  muler   nora  hvad tror du jeg har her 
nora ,nora  penge 
not-nora,helmer se der   herregud  jeg ved jo nok  at der gar en hel del til i et hus i juletiden 
nora ,nora  ti - tyve - tredive - firti  a tak  tak  torvald  nu hjaelper jeg mig langt 
not-nora,helmer ja  det ma du sandelig goere 
nora ,nora ja  ja  det skal jeg nok  men kom her  sa skal jeg vise dig alt  hvad jeg har koebt  og sa billigt  se  her er nye klaeder til ivar - og sa en sabel  her er en hest og en trompet til bob  og her er dukke og dukkeseng til emmy  det er nu sa simpelt  men hun river det jo snart istykker alligevel  og her har jeg kjoletoejer og toerklaeder til pigerne  gamle anne marie skulde nu havt meget mere 
not-nora,helmer og hvad er der i den pakke der 
nora ,nora  nej  torvald  det far du ikke se foer iaften 
not-nora,helmer na sa  men sig mig nu  du lille oedeland  hvad har du nu taenkt pa til dig selv 
nora ,nora a pyt  til mig  jeg bryr mig slet ikke om noget 
not-nora,helmer jovisst goer du sa  sig mig nu noget rime  ligt  som du helst kunde have lyst til 
nora ,nora nej  jeg ved virkelig ikke  jo hoer  torvald -
not-nora,helmer na 
nora ,nora  hvis du vil give mig noget  sa kunde du jo -  du kunde -
not-nora,helmer na  na  ud med det 
nora ,nora  du kunde give mig penge  torvald  bare sa meget  som du synes du kan afse  sa skal jeg siden en af dagene koebe noget for dem 
not-nora,helmer nej men  nora -
nora ,nora a jo  goer det  kaere torvald  jeg ber dig sameget om det  sa skulde jeg haenge pengene i et smukt guldpapirs omslag pa juletraeet  vilde ikke det vaere morsomt 
not-nora,helmer hvad er det de fugle kaldes  som altid saetter penge overstyr 
nora ,nora ja ja  spillefugle  jeg ved det nok  men lad os goere  som jeg siger  torvald  sa far jeg tid til at overlaegge  hvad jeg mest har brug for  er ikke det meget fornuftigt  hvad 
not-nora,helmer  jo visst er det sa  det vil sige  hvis du virke  lig kunde holde pa de penge  jeg gier dig  og virkelig koebte noget til dig selv for dem  men sa gar de til huset og til sa mangt og meget unyttigt  og sa ma jeg punge ud igen 
nora ,nora a men  torvald -
not-nora,helmer kan ikke naegtes  min kaere lille nora   spillefuglen er soed  men den bruger svaert mange penge  det er utroligt  hvor kostbart det er for en mand at holde spillefugl 
nora ,nora a fy  hvor kan du da sige det  jeg sparer dog virkelig alt  hvad jeg kan 
