character_name,character_speech
nora ,nora  hide the christmas tree carefully  helen  be sure the childrendo not see it until this evening  when it is dressed   how much
porter ,porter  sixpence
nora ,nora  there is a shilling  no  keep the change   yes  he is in
helmer ,helmer   is that my little lark twittering outthere
nora ,nora   yes  it is
helmer ,helmer  is it my little squirrel bustling about
nora ,nora  yes
helmer ,helmer  when did my squirrel come home
nora ,nora  just now   come in here  torvald  and see what i have bought
helmer ,helmer  don t disturb me   bought  did you say  all these things  hasmy little spendthrift been wasting money again
nora ,nora  yes but  torvald  this year we really can let ourselves goa little  this is the first christmas that we have not needed toeconomise
helmer ,helmer  still  you know  we can t spend money recklessly  nora  yes torvald  we may be a wee bit more reckless now  mayn t we  just a tinywee bit  you are going to have a big salary and earn lots and lots ofmoney
helmer ,helmer  yes  after the new year  but then it will be a whole quarterbefore the salary is due
nora ,nora  pooh  we can borrow until then
helmer ,helmer  nora   thesame little featherhead  suppose  now  that i borrowed fifty poundstoday  and you spent it all in the christmas week  and then on newyear s eve a slate fell on my head and killed me  and  nora   oh  don t say such horrid things
helmer ,helmer  still  suppose that happened   what then
nora ,nora  if that were to happen  i don t suppose i should care whether iowed money or not
helmer ,helmer  yes  but what about the people who had lent it
nora ,nora  they  who would bother about them  i should not know who theywere
helmer ,helmer  that is like a woman  but seriously  nora  you know what i thinkabout that  no debt  no borrowing  there can be no freedom or beautyabout a home life that depends on borrowing and debt  we two have keptbravely on the straight road so far  and we will go on the same way forthe short time longer that there need be any struggle
nora ,nora   as you please  torvald
helmer ,helmer   come  come  my little skylark must not droop herwings  what is this  is my little squirrel out of temper   nora  what do you think i have got here
nora ,nora   money
helmer ,helmer  there you are   do you think i don t knowwhat a lot is wanted for housekeeping at christmas time
nora ,nora   ten shillings  a pound  two pounds  thank you  thankyou  torvald  that will keep me going for a long time
helmer ,helmer  indeed it must
nora ,nora  yes  yes  it will  but come here and let me show you what i havebought  and all so cheap  look  here is a new suit for ivar  anda sword  and a horse and a trumpet for bob  and a doll and dolly sbedstead for emmy   they are very plain  but anyway she will soon breakthem in pieces  and here are dress lengths and handkerchiefs for themaids  old anne ought really to have something better
helmer ,helmer  and what is in this parcel
nora ,nora   no  no  you mustn t see that until this evening
helmer ,helmer  very well  but now tell me  you extravagant little person  whatwould you like for yourself
nora ,nora  for myself  oh  i am sure i don t want anything
helmer ,helmer  yes  but you must  tell me something reasonable that you wouldparticularly like to have
nora ,nora  no  i really can t think of anything  unless  torvald
helmer ,helmer  well
nora ,nora   if you really want to give me something  you might  you might
helmer ,helmer  well  out with it
nora ,nora   you might give me money  torvald  only just asmuch as you can afford  and then one of these days i will buy somethingwith it
helmer ,helmer  but  nora
nora ,nora  oh  do  dear torvald  please  please do  then i will wrap it up inbeautiful gilt paper and hang it on the christmas tree  wouldn t that befun
helmer ,helmer  what are little people called that are always wasting money
nora ,nora  spendthrifts  i know  let us do as you suggest  torvald  and theni shall have time to think what i am most in want of  that is a verysensible plan  isn t it
helmer ,helmer   indeed it is  that is to say  if you were really tosave out of the money i give you  and then really buy something foryourself  but if you spend it all on the housekeeping and any number ofunnecessary things  then i merely have to pay up again
nora ,nora  oh but  torvald
helmer ,helmer  you can t deny it  my dear little nora   it s a sweet little spendthrift  but she uses up a deal ofmoney  one would hardly believe how expensive such little persons are
nora ,nora  it s a shame to say that  i do really save all i can
helmer ,helmer   that s very true   all you can  but you can t saveanything
nora ,nora   you haven t any idea how manyexpenses we skylarks and squirrels have  torvald
helmer ,helmer  you are an odd little soul  very like your father  you alwaysfind some new way of wheedling money out of me  and  as soon as youhave got it  it seems to melt in your hands  you never know where ithas gone  still  one must take you as you are  it is in the blood  forindeed it is true that you can inherit these things  nora
nora ,nora  ah  i wish i had inherited many of papa s qualities
helmer ,helmer  and i would not wish you to be anything but just what you are my sweet little skylark  but  do you know  it strikes me that you arelooking rather  what shall i say  rather uneasy today
nora ,nora  do i
helmer ,helmer  you do  really  look straight at me
nora ,nora   well
helmer ,helmer   hasn t miss sweet tooth beenbreaking rules in town today
nora ,nora  no  what makes you think that
helmer ,helmer  hasn t she paid a visit to the confectioner s
nora ,nora  no  i assure you  torvald
helmer ,helmer  not been nibbling sweets
nora ,nora  no  certainly not
helmer ,helmer  not even taken a bite at a macaroon or two
nora ,nora  no  torvald  i assure you really
helmer ,helmer  there  there  of course i was only joking
nora ,nora   i should not think of goingagainst your wishes
helmer ,helmer  no  i am sure of that  besides  you gave me your word    keep your little christmas secrets to yourself  my darling they will all be revealed tonight when the christmas tree is lit  nodoubt
nora ,nora  did you remember to invite doctor rank
helmer ,helmer  no  but there is no need  as a matter of course he will come todinner with us  however  i will ask him when he comes in this morning i have ordered some good wine  nora  you can t think how i am lookingforward to this evening
nora ,nora  so am i  and how the children will enjoy themselves  torvald
helmer ,helmer  it is splendid to feel that one has a perfectly safeappointment  and a big enough income  it s delightful to think of  isn tit
nora ,nora  it s wonderful
helmer ,helmer  do you remember last christmas  for a full three weeksbeforehand you shut yourself up every evening until long after midnight making ornaments for the christmas tree  and all the other fine thingsthat were to be a surprise to us  it was the dullest three weeks i everspent
nora ,nora  i didn t find it dull
helmer ,helmer   but there was precious little result  nora
nora ,nora  oh  you shouldn t tease me about that again  how could i help thecat s going in and tearing everything to pieces
helmer ,helmer  of course you couldn t  poor little girl  you had the best ofintentions to please us all  and that s the main thing  but it is a goodthing that our hard times are over
nora ,nora  yes  it is really wonderful
helmer ,helmer  this time i needn t sit here and be dull all alone  and youneedn t ruin your dear eyes and your pretty little hands
nora ,nora   no  torvald  i needn t any longer  need i it s wonderfully lovely to hear you say so   now i willtell you how i have been thinking we ought to arrange things  torvald as soon as christmas is over   there s thebell   there s some one at the door  whata nuisance
helmer ,helmer  if it is a caller  remember i am not at home
maid ,maid   a lady to see you  ma am   a stranger
nora ,nora  ask her to come in
maid ,maid   the doctor came at the same time  sir
helmer ,helmer  did he go straight into my room
maid ,maid  yes  sir
mrs ,mrs  linde   how do you do  nora
nora ,nora   how do you do  mrs  linde  you don t recognise me  isuppose
nora ,nora  no  i don t know  yes  to be sure  i seem to   yes christine  is it really you
mrslinde ,mrslinde  yes  it is i
nora ,nora  christine  to think of my not recognising you  and yet how couldi   how you have altered  christine
mrslinde ,mrslinde  yes  i have indeed  in nine  ten long years
nora ,nora  is it so long since we met  i suppose it is  the last eight yearshave been a happy time for me  i can tell you  and so now you have comeinto the town  and have taken this long journey in winter  that wasplucky of you
mrslinde ,mrslinde  i arrived by steamer this morning
nora ,nora  to have some fun at christmas time  of course  how delightful  wewill have such fun together  but take off your things  you are not cold i hope   now we will sit down by the stove  and be cosy no  take this armchair  i will sit here in the rocking chair   now you look like your old self again  it was only the firstmoment  you are a little paler  christine  and perhaps a little thinner
mrslinde ,mrslinde  and much  much older  nora
nora ,nora  perhaps a little older  very  very little  certainly not much  what a thoughtless creature i am chattering away like this  my poor  dear christine  do forgive me
mrslinde ,mrslinde  what do you mean  nora
nora ,nora   poor christine  you are a widow
mrslinde ,mrslinde  yes  it is three years ago now
